,None,D0,D1,D2,D3,D4
0,0.0,0.22,2.31,37.66,47.07,12.74
1,0.0,0.22,2.31,37.66,47.07,12.74
2,0.0,0.2,2.31,37.67,47.07,12.74
3,0.0,0.2,2.31,37.67,48.22,11.59
4,0.0,0.21,2.31,37.67,48.22,11.59
5,0.0,0.21,2.31,37.67,48.22,11.59
6,0.0,0.21,2.31,37.67,48.22,11.59
7,0.0,0.21,2.31,37.67,48.22,11.59
8,0.0,0.14,2.3,37.75,48.22,11.59
9,0.0,0.14,2.3,37.75,48.22,11.59
10,0.0,0.14,4.73,35.32,59.64,0.18
11,0.0,0.14,4.73,35.32,59.81,0.0
12,0.0,0.0,4.82,54.67,40.51,0.0
13,0.0,0.0,4.82,54.62,40.56,0.0
14,0.0,0.0,4.82,54.37,40.81,0.0
15,0.0,0.0,4.25,48.88,46.87,0.0
16,0.0,0.0,6.35,52.97,40.67,0.0
17,0.0,0.0,6.35,53.4,40.25,0.0
18,0.0,0.0,6.35,55.95,37.69,0.0
19,0.0,0.0,6.77,58.01,35.22,0.0
20,0.0,0.0,13.02,74.16,12.82,0.0
21,0.0,0.0,13.02,74.16,12.82,0.0
22,0.0,0.0,31.23,62.07,6.7,0.0
23,0.0,0.43,33.19,65.0,1.39,0.0
24,0.0,0.75,32.86,65.0,1.39,0.0
25,0.0,0.75,32.86,65.0,1.39,0.0
26,0.0,0.75,32.86,65.0,1.39,0.0
27,0.0,0.75,32.86,65.0,1.39,0.0
28,0.0,0.75,32.86,65.0,1.39,0.0
29,0.0,0.7,31.68,51.01,15.76,0.84
30,0.0,0.0,13.72,53.35,32.1,0.84
31,0.0,0.0,7.56,13.0,56.33,23.11
32,0.0,0.0,7.57,12.15,52.01,28.27
33,0.0,0.0,7.57,12.15,52.01,28.27
34,0.0,0.0,7.57,12.15,52.01,28.27
35,0.0,0.0,7.57,12.15,52.01,28.27
36,0.0,0.0,7.57,12.15,42.66,37.62
37,0.0,0.0,7.57,12.15,42.66,37.62
38,0.0,0.0,6.19,10.48,44.59,38.74
39,0.0,0.0,6.19,10.48,44.59,38.74
40,0.0,0.0,6.19,6.63,41.52,45.66
41,0.0,0.0,6.07,6.75,41.52,45.66
42,0.0,0.0,6.07,6.05,42.22,45.66
43,0.0,0.0,6.07,6.05,42.22,45.66
44,0.0,0.0,6.07,6.05,42.22,45.66
45,0.0,0.0,6.07,5.99,42.28,45.66
46,0.0,0.0,6.07,5.99,42.28,45.66
47,0.0,0.0,4.44,7.19,40.98,47.4
48,0.0,0.0,4.42,7.21,40.98,47.4
49,0.0,0.0,4.42,7.21,39.4,48.97
50,0.0,0.0,4.93,6.69,41.28,47.1
51,0.0,0.0,4.93,6.69,41.93,46.45
52,0.0,0.0,4.91,6.5,42.1,46.49
53,0.0,0.0,5.25,9.0,52.33,33.42
54,0.0,0.0,5.25,9.02,52.41,33.32
55,0.0,0.0,5.27,9.29,52.12,33.32
56,0.0,0.0,5.27,9.29,52.12,33.32
57,0.0,0.0,5.27,9.29,52.12,33.32
58,0.0,0.0,5.25,9.31,52.12,33.32
59,0.0,0.0,5.25,9.55,51.88,33.32
60,0.0,0.0,5.39,20.15,48.41,26.04
61,0.0,0.0,5.39,20.15,48.41,26.04
62,0.0,0.0,5.69,20.98,57.42,15.91
63,0.0,0.0,5.69,20.98,59.81,13.53
64,0.0,2.48,4.63,19.58,67.94,5.36
65,0.0,2.49,9.56,35.09,47.5,5.36
66,0.0,3.46,11.17,35.51,44.5,5.36
67,0.78,5.09,17.16,38.29,33.32,5.36
68,0.77,6.58,22.97,34.27,30.06,5.36
69,0.77,8.57,26.64,32.26,26.4,5.36
70,0.7,8.64,26.64,32.26,26.4,5.36
71,0.78,8.6,32.03,29.05,25.79,3.75
72,0.75,8.36,32.3,29.05,25.79,3.75
73,0.75,8.36,33.91,27.44,25.79,3.75
74,0.7,14.41,27.9,27.44,25.79,3.75
75,0.7,14.41,27.3,26.59,27.24,3.75
76,0.64,14.26,27.23,26.46,27.66,3.75
77,0.0,14.01,27.54,26.79,27.9,3.75
78,0.0,4.8,19.46,36.28,35.6,3.86
79,0.0,4.8,17.08,38.66,38.27,1.19
80,0.0,4.8,16.1,39.6,38.31,1.19
81,0.0,4.8,20.85,40.51,32.65,1.19
82,0.0,4.83,20.82,40.59,32.56,1.19
83,0.0,4.83,20.82,40.59,32.56,1.19
84,0.0,4.83,20.82,40.59,32.56,1.19
85,0.0,4.83,28.38,45.5,21.3,0.0
86,3.46,21.51,26.84,28.83,19.36,0.0
87,3.5,21.47,26.84,28.83,19.36,0.0
88,15.61,13.47,29.66,25.42,15.83,0.0
89,15.48,13.61,29.66,25.42,15.83,0.0
90,15.48,16.98,31.93,22.87,12.74,0.0
91,15.4,17.06,31.93,22.87,12.74,0.0
92,15.4,17.06,31.93,22.87,12.74,0.0
93,15.4,17.06,31.93,22.87,12.74,0.0
94,15.4,17.06,31.93,22.87,12.74,0.0
95,15.35,17.0,32.03,22.88,12.74,0.0
96,15.62,17.29,31.82,31.88,3.39,0.0
97,15.62,17.29,31.83,32.09,3.17,0.0
98,20.45,25.37,21.21,29.93,3.04,0.0
99,20.39,25.23,22.6,28.74,3.04,0.0
100,20.55,25.07,22.49,28.84,3.04,0.0
101,20.55,25.24,32.5,18.67,3.04,0.0
102,33.74,15.87,28.67,18.67,3.04,0.0
103,33.74,15.88,28.88,18.45,3.04,0.0
104,40.34,9.28,28.88,18.45,3.04,0.0
105,40.34,11.44,26.71,18.45,3.04,0.0
106,40.38,11.43,26.69,19.05,2.45,0.0
107,41.79,11.47,25.9,18.39,2.45,0.0
108,41.79,11.47,25.9,18.39,2.45,0.0
109,41.79,11.47,25.9,18.39,2.45,0.0
110,41.79,11.47,25.9,18.39,2.45,0.0
