MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220726,CA,0.00,0.22,2.31,37.66,47.07,12.74,2022-07-26,2022-08-01,2
20220719,CA,0.00,0.22,2.31,37.66,47.07,12.74,2022-07-19,2022-07-25,2
20220712,CA,0.00,0.20,2.31,37.67,47.07,12.74,2022-07-12,2022-07-18,2
20220705,CA,0.00,0.20,2.31,37.67,48.22,11.59,2022-07-05,2022-07-11,2
20220628,CA,0.00,0.21,2.31,37.67,48.22,11.59,2022-06-28,2022-07-04,2
20220621,CA,0.00,0.21,2.31,37.67,48.22,11.59,2022-06-21,2022-06-27,2
20220614,CA,0.00,0.21,2.31,37.67,48.22,11.59,2022-06-14,2022-06-20,2
20220607,CA,0.00,0.21,2.31,37.67,48.22,11.59,2022-06-07,2022-06-13,2
20220531,CA,0.00,0.14,2.30,37.75,48.22,11.59,2022-05-31,2022-06-06,2
20220524,CA,0.00,0.14,2.30,37.75,48.22,11.59,2022-05-24,2022-05-30,2
20220517,CA,0.00,0.14,4.73,35.32,59.64,0.18,2022-05-17,2022-05-23,2
20220510,CA,0.00,0.14,4.73,35.32,59.81,0.00,2022-05-10,2022-05-16,2
20220503,CA,0.00,0.00,4.82,54.67,40.51,0.00,2022-05-03,2022-05-09,2
20220426,CA,0.00,0.00,4.82,54.62,40.56,0.00,2022-04-26,2022-05-02,2
20220419,CA,0.00,0.00,4.82,54.37,40.81,0.00,2022-04-19,2022-04-25,2
20220412,CA,0.00,0.00,4.25,48.88,46.87,0.00,2022-04-12,2022-04-18,2
20220405,CA,0.00,0.00,6.35,52.97,40.67,0.00,2022-04-05,2022-04-11,2
20220329,CA,0.00,0.00,6.35,53.40,40.25,0.00,2022-03-29,2022-04-04,2
20220322,CA,0.00,0.00,6.35,55.95,37.69,0.00,2022-03-22,2022-03-28,2
20220315,CA,0.00,0.00,6.77,58.01,35.22,0.00,2022-03-15,2022-03-21,2
20220308,CA,0.00,0.00,13.02,74.16,12.82,0.00,2022-03-08,2022-03-14,2
20220301,CA,0.00,0.00,13.02,74.16,12.82,0.00,2022-03-01,2022-03-07,2
20220222,CA,0.00,0.00,31.23,62.07,6.70,0.00,2022-02-22,2022-02-28,2
20220215,CA,0.00,0.43,33.19,65.00,1.39,0.00,2022-02-15,2022-02-21,2
20220208,CA,0.00,0.75,32.86,65.00,1.39,0.00,2022-02-08,2022-02-14,2
20220201,CA,0.00,0.75,32.86,65.00,1.39,0.00,2022-02-01,2022-02-07,2
20220125,CA,0.00,0.75,32.86,65.00,1.39,0.00,2022-01-25,2022-01-31,2
20220118,CA,0.00,0.75,32.86,65.00,1.39,0.00,2022-01-18,2022-01-24,2
20220111,CA,0.00,0.75,32.86,65.00,1.39,0.00,2022-01-11,2022-01-17,2
20220104,CA,0.00,0.70,31.68,51.01,15.76,0.84,2022-01-04,2022-01-10,2
20211228,CA,0.00,0.00,13.72,53.35,32.10,0.84,2021-12-28,2022-01-03,2
20211221,CA,0.00,0.00,7.56,13.00,56.33,23.11,2021-12-21,2021-12-27,2
20211214,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-12-14,2021-12-20,2
20211207,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-12-07,2021-12-13,2
20211130,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-11-30,2021-12-06,2
20211123,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-11-23,2021-11-29,2
20211116,CA,0.00,0.00,7.57,12.15,42.66,37.62,2021-11-16,2021-11-22,2
20211109,CA,0.00,0.00,7.57,12.15,42.66,37.62,2021-11-09,2021-11-15,2
20211102,CA,0.00,0.00,6.19,10.48,44.59,38.74,2021-11-02,2021-11-08,2
20211026,CA,0.00,0.00,6.19,10.48,44.59,38.74,2021-10-26,2021-11-01,2
20211019,CA,0.00,0.00,6.19,6.63,41.52,45.66,2021-10-19,2021-10-25,2
20211012,CA,0.00,0.00,6.07,6.75,41.52,45.66,2021-10-12,2021-10-18,2
20211005,CA,0.00,0.00,6.07,6.05,42.22,45.66,2021-10-05,2021-10-11,2
20210928,CA,0.00,0.00,6.07,6.05,42.22,45.66,2021-09-28,2021-10-04,2
20210921,CA,0.00,0.00,6.07,6.05,42.22,45.66,2021-09-21,2021-09-27,2
20210914,CA,0.00,0.00,6.07,5.99,42.28,45.66,2021-09-14,2021-09-20,2
20210907,CA,0.00,0.00,6.07,5.99,42.28,45.66,2021-09-07,2021-09-13,2
20210831,CA,0.00,0.00,4.44,7.19,40.98,47.40,2021-08-31,2021-09-06,2
20210824,CA,0.00,0.00,4.42,7.21,40.98,47.40,2021-08-24,2021-08-30,2
